name,price,stock,color,size,material,link
Lightweight Cropped Jacket in Black,IDR 599.000,3 IN STOCK,Black,"Black,S,M,L,XL",no_material,https://loveandflair.com//products/lightweight-cropped-jacket-in-black
Victory Jacket in White,IDR 599.000,1 IN STOCK,White,"XS,S,M,L,White",no_material,https://loveandflair.com//products/victory-jacket-in-white
Persona Bra Tank in Moss (L & XL LEFT),IDR 439.000,3 IN STOCK,no_colr,"Moss,S,M,L,XL",no_material,https://loveandflair.com//products/persona-tank-top-in-moss
Ultrasoft Moss Flare Pants,IDR 509.150,12 IN STOCK,Green,"Green,XS,S,M,L",no_material,https://loveandflair.com//products/ultrasoft-moss-flare-pants
Rhythm Bra Top in Moss,IDR 399.000,1 IN STOCK,Green,"Green,XS,S,M,L",no_material,https://loveandflair.com//products/rhythm-bra-top-in-moss
Elevated+ Jacket in Steel Blue,IDR 749.000,7 IN STOCK,Blue,"Blue,XS,S,M,L",no_material,https://loveandflair.com//products/elevated-jacket-in-steel-blue
Asymmetrical Pleated Skirt in Black,IDR 579.000,13 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/asymmetrical-pleated-skirt-in-black
Racer Contrast Jacket in Black,IDR 649.000,8 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/racer-contrast-jacket-in-black
Powerflex Bra in White,IDR 336.750,2 IN STOCK,White,"White,XS,S,M,L",no_material,https://loveandflair.com//products/powerflex-bra-in-white
Fluff Tank Top in White,IDR 364.650,9 IN STOCK,White,"XS,S,M,White",no_material,https://loveandflair.com//products/fluff-tank-top-in-white
Heart Contrast Bra Tank in Black,IDR 424.150,10 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/heart-contrast-bra-tank-in-black
Raise Jacket in Eggshell (LAST PIECE),IDR 529.000,2 IN STOCK,Eggshell,"XS,S,M,L,Eggshell",no_material,https://loveandflair.com//products/raise-jacket-in-eggshell
Racer Contrast Jacket in White,IDR 649.000,14 IN STOCK,White,"White,XS,S,M,L",no_material,https://loveandflair.com//products/racer-contrast-jacket-in-white
Focus Ribbed Bra Top in Eggshell,IDR 469.000,3 IN STOCK,Eggshell,"Eggshell,XS,S,M,L",no_material,https://loveandflair.com//products/focus-ribbed-bra-top-in-eggshell
Phase Hooded Jacket in Pacific Blue,IDR 399.000,11 IN STOCK,Pacific Blue,"XS,S,M,L,Pacific Blue",no_material,https://loveandflair.com//products/phase-hooded-jacket-in-pacific-blue
Training Cargo Pant in Black,IDR 699.000,6 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/training-cargo-pant-in-black
Embody Jacket in Cobalt Blue (1XS LEFT),IDR 699.000,1 IN STOCK,Cobalt Blue,"XS,S,M,L,Cobalt Blue",no_material,https://loveandflair.com//products/embody-jacket-in-cobalt-blue
Urban Shorts in Marine,IDR 399.000,13 IN STOCK,Blue,"Blue,XS,S,M,L",no_material,https://loveandflair.com//products/urban-shorts-in-marine
Energy Biker Shorts In Black,IDR 399.000,16 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/energy-biker-shorts-in-black
Ultralite Flare Pants in Burgundy Wine,IDR 529.000,3 IN STOCK,Burgundy Wine,"XS,S,M,L,Burgundy Wine",no_material,https://loveandflair.com//products/ultralite-flare-pants-in-burgundy-wine
Apex Polo Bra Top in Blush (LAST PIECE),IDR 499.000,8 IN STOCK,Blush,"Blush,XS,S,M,L",no_material,https://loveandflair.com//products/apex-polo-bra-top-in-blush
Sideline Pleated Skirt in Forest,IDR 399.000,12 IN STOCK,Forest,"XS,S,M,L,Forest",no_material,https://loveandflair.com//products/sideline-pleated-skirt-in-forest
Boast Contrast Bra Top in Midnight Navy,IDR 470.000,3 IN STOCK,Midnight Navy,"XS,S,M,L,Midnight Navy",no_material,https://loveandflair.com//products/boast-contrast-bra-top-in-midnight-navy
Dive Bra Top in Bubblegum,IDR 288.000,3 IN STOCK,Pink,"Pink,XS,S,M",no_material,https://loveandflair.com//products/dive-bra-top-in-bubblegum
Flex Tank in Midnight Navy,IDR 469.000,6 IN STOCK,Midnight Navy,"XS,S,M,L,Midnight Navy",no_material,https://loveandflair.com//products/flex-bra-tank-in-midnight-navy
Circuit Pleated Skirt in Black,IDR 299.000,20 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/circuit-pleated-skirt-in-black
Divine V-shape Panty In White (LAST PIECES),IDR 76.300,8 IN STOCK,White,"S,M,L,XL,White",no_material,https://loveandflair.com//products/divine-v-shape-panty-in-white
Sense Long Sleeve Bra Top Brown (2 Left),IDR 214.500,2 IN STOCK,Brown,"XS,S,M,L,Brown",no_material,https://loveandflair.com//products/sense-long-sleeve-bra-top-brown
Radiant Bra Top in Khaki,IDR 499.000,2 IN STOCK,Khaki,"Khaki,XS,S,M,L",no_material,https://loveandflair.com//products/radiant-bra-top-in-khaki
Lavish Pleated Tennis Skirt in Baby Pink (XS LEFT),IDR 299.400,4 IN STOCK,Baby Pink,"XS,S,M,L,Baby Pink",no_material,https://loveandflair.com//products/lavish-pleated-tennis-skirt-in-baby-pink-copy
Hustle Flare Pants in Black,IDR 599.000,12 IN STOCK,Black,"Black,S,M,L,XL",no_material,https://loveandflair.com//products/hustle-flare-pants-in-black
Prime Polo Top in White,IDR 429.000,6 IN STOCK,White,"White,XS,S,M,L",no_material,https://loveandflair.com//products/prime-polo-top-in-white
Sculpt Thermal Jacket in Black,IDR 599.000,40 IN STOCK,Black,"Black,S,M,L,XL",no_material,https://loveandflair.com//products/sculpt-thermal-jacket-in-black
Peak Zip-Bra in Ivory,IDR 249.000,6 IN STOCK,Ivory,"XS,S,M,L,Ivory",no_material,https://loveandflair.com//products/peak-zip-bra-in-ivory
Raglan Jacket in Bubblegum,IDR 649.000,25 IN STOCK,Pink,"XS,S,M,L,Pink",no_material,https://loveandflair.com//products/raglan-jacket-in-bubblegum
Doubles Bra in Smoky Gray (Last Piece),IDR 199.600,1 IN STOCK,Grey,"XS,S,M,L,Grey",no_material,https://loveandflair.com//products/doubles-bra-in-smoky-gray
Absolute Flare Pants in Midnight Navy,IDR 529.000,11 IN STOCK,Midnight Navy,"XS,S,M,L,Midnight Navy",no_material,https://loveandflair.com//products/absolute-flare-pants-in-midnight-navy
Stream Moss Long-sleeved Top,IDR 449.650,17 IN STOCK,Green,"Green,XS,S,M,L",no_material,https://loveandflair.com//products/stream-moss-long-sleeved-top
Deuce Contrast Polo Top in Black,IDR 519.000,7 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/deuce-contrast-polo-top-in-black
Warm-Up Knit Jacket in Forest,IDR 699.000,7 IN STOCK,Forest,"One Size,Forest",no_material,https://loveandflair.com//products/warm-up-knit-jacket-in-forest
Chill Sweatpant in Glacier Grey,IDR 251.600,2 IN STOCK,Grey,"S,M,L,XL,Grey",no_material,https://loveandflair.com//products/chill-sweatpant-in-glacier-grey
Curve Jogger in Black,IDR 529.000,1 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/curve-jogger-in-black
Lunette Long Sleeve Outer in Marine,IDR 399.000,13 IN STOCK,Blue,"Blue,XS,S,M,L",no_material,https://loveandflair.com//products/lunette-long-sleeve-outer-in-marine
Ace Skirt In Navy,IDR 264.500,13 IN STOCK,Navy,"XS,S,M,L,Navy",no_material,https://loveandflair.com//products/ace-tennis-skirt-in-navy
Solid Bra Top in Sand,IDR 499.000,3 IN STOCK,Brown,"Brown,XS,S,M,L",no_material,https://loveandflair.com//products/solid-bra-top-in-sand
Headline Side-Pleated Skirt in Jade Green,IDR 299.000,7 IN STOCK,Jade Green,"XS,S,M,L,Jade Green",no_material,https://loveandflair.com//products/headline-side-pleated-skirt-in-jade-green
Lunette Long Sleeve Outer in Moss,IDR 399.000,3 IN STOCK,Green,"Green,XS,S,M,L",no_material,https://loveandflair.com//products/lunette-long-sleeve-outer-in-moss
Toned Bra Tank in White,IDR 449.000,8 IN STOCK,White,"XS,S,M,L,White",no_material,https://loveandflair.com//products/toned-bra-tank-in-white
Ultraflare Pants in Black,IDR 529.000,3 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/ultraflare-pants-in-black
Fluid Legging in Marine,IDR 459.000,13 IN STOCK,Blue,"Blue,XS,S,M,L",no_material,https://loveandflair.com//products/fluid-legging-in-marine
Strive Bra Top in Forest (XS LEFT),IDR 399.000,3 IN STOCK,Forest,"XS,S,M,Forest",no_material,https://loveandflair.com//products/strive-bra-top-in-forest
Money Good Grip Socks in Cornflower Blue,IDR 229.000,131 IN STOCK,Blue,Blue,no_material,https://loveandflair.com//products/money-good-grip-socks-in-cornflower-blue
Ultralite Flare Pants in Espresso (LAS PIECE),IDR 529.000,2 IN STOCK,Espresso,"XS,S,M,L,Espresso",no_material,https://loveandflair.com//products/ultralite-flare-pants-in-espresso
Restore Long Sleeve Bra Top in Black,IDR 399.000,11 IN STOCK,Black,"Black,XS,S,M",no_material,https://loveandflair.com//products/restore-long-sleeve-bra-top-in-black
Cloud Bra in Nude,IDR 202.300,7 IN STOCK,no_colr,"S,M,L,XL,XXL,Nude",no_material,https://loveandflair.com//products/seamless-wireless-v-neckline-bra-in-nude
